int sprites 7
int default 0
ref sprite0 idle
ref sprite1 run
ref sprite2 fall
ref sprite3 jump
ref sprite4 sprint
ref sprite5 walk
ref sprite6 wallslide
dat idle texture/sprite/playerTest/idle.dat
dat run texture/sprite/playerTest/run.dat
dat fall texture/sprite/playerTest/fall.dat
dat jump texture/sprite/playerTest/jump.dat
dat sprint texture/sprite/playerTest/sprint.dat
dat walk texture/sprite/playerTest/walk.dat
dat wallslide texture/sprite/playerTest/wallslide.dat
dat reel texture/sprite/playerTest/reel.dat
